ID Parola,POS,Gramm,Parola,No punct,Standard,Lemma,Inglese,NR06,NR94,R20,Temp
1011301000,N-,----ASM-,"Ἐλιακίμ,",Ἐλιακίμ,Ἐλιακίμ,Ἐλιακίμ,-,Eliachim,Eliachim,Eliachim,
1011301100,N-,----NSM-,Ἐλιακὶμ,Ἐλιακὶμ,Ἐλιακίμ,Ἐλιακίμ,-,Eliachim,Eliachim,Eliachim,
1011301200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011301300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011301400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011301500,N-,----ASM-,"Ἀζώρ,",Ἀζώρ,Ἀζώρ,Ἀζώρ,Azor,Azor,Azor,Azor,
1011400100,N-,----NSM-,Ἀζὼρ,Ἀζὼρ,Ἀζώρ,Ἀζώρ,Azor,Azor,Azor,Azor,
1011400200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011400300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011400400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011400500,N-,----ASM-,"Σαδώκ,",Σαδώκ,Σαδώκ,Σαδώκ,Zadok,Sadoc,Sadoc,Sadoc,
1011400600,N-,----NSM-,Σαδὼκ,Σαδὼκ,Σαδώκ,Σαδώκ,Zadok,Sadoc,Sadoc,Sadoc,
1011400700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011400800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011400900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011401000,N-,----ASM-,"Ἀχίμ,",Ἀχίμ,Ἀχίμ,Ἀχίμ,-,Achim,Achim,Achim,
1011401100,N-,----NSM-,Ἀχὶμ,Ἀχὶμ,Ἀχίμ,Ἀχίμ,-,Achim,Achim,Achim,
1011401200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011401300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011401400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011401500,N-,----ASM-,"Ἐλιούδ,",Ἐλιούδ,Ἐλιούδ,Ἐλιούδ,Eliud,Eliud,Eliud,Eliud,
1011500100,N-,----NSM-,Ἐλιοὺδ,Ἐλιοὺδ,Ἐλιούδ,Ἐλιούδ,Eliud,Eliud,Eliud,Eliud,
1011500200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011500300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011500400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011500500,N-,----ASM-,"Ἐλεάζαρ,",Ἐλεάζαρ,Ἐλεάζαρ,Ἐλεάζαρ,Eleazar,Eleazar,Eleàzaro,Eleazar,
1011500600,N-,----NSM-,Ἐλεάζαρ,Ἐλεάζαρ,Ἐλεάζαρ,Ἐλεάζαρ,Eleazar,Eleazar,Eleàzaro,Eleazar,
1011500700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1011500800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1011500900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1011501000,N-,----ASM-,"Ματθάν,",Ματθάν,Ματθάν,Ματθάν,Matthan,Mattan,Mattan,Mattan,
